id,month,repayment_status,payment_amount
1,september,2,0
1,august,2,689
1,july,-1,0
1,june,-1,0
1,may,-2,0
1,april,-2,0
2,september,-1,0
2,august,2,1000
2,july,0,1000
2,june,0,1000
2,may,0,0
2,april,2,2000
3,september,0,1518
3,august,0,1500
3,july,0,1000
3,june,0,1000
3,may,0,1000
3,april,0,5000
4,september,0,2000
4,august,0,2019
4,july,0,1200
4,june,0,1100
4,may,0,1069
4,april,0,1000
5,september,-1,2000
5,august,0,36681
5,july,-1,10000
5,june,0,9000
5,may,0,689
5,april,0,679
6,september,0,2500
6,august,0,1815
6,july,0,657
6,june,0,1000
6,may,0,1000
6,april,0,800
7,september,0,55000
7,august,0,40000
7,july,0,38000
7,june,0,20239
7,may,0,13750
7,april,0,13770
8,september,0,380
8,august,-1,601
8,july,-1,0
8,june,0,581
8,may,0,1687
8,april,-1,1542
9,september,0,3329
9,august,0,0
9,july,2,432
9,june,0,1000
9,may,0,1000
9,april,0,1000
10,september,-2,0
10,august,-2,0
10,july,-2,0
10,june,-2,13007
10,may,-1,1122
10,april,-1,0
11,september,0,2306
11,august,0,12
11,july,2,50
11,june,0,300
11,may,0,3738
11,april,-1,66
12,september,-1,21818
12,august,-1,9966
12,july,-1,8583
12,june,-1,22301
12,may,-1,0
12,april,2,3640
13,september,-1,1000
13,august,0,6500
13,july,-1,6500
13,june,-1,6500
13,may,-1,2870
13,april,-1,0
14,september,1,3200
14,august,2,0
14,july,2,3000
14,june,0,3000
14,may,0,1500
14,april,2,0
15,september,0,3000
15,august,0,3000
15,july,0,3000
15,june,0,3000
15,may,0,3000
15,april,0,3000
16,september,1,0
16,august,2,1500
16,july,0,1100
16,june,0,1200
16,may,0,1300
16,april,0,1100
17,september,0,3200
17,august,0,0
17,july,2,1500
17,june,2,0
17,may,2,1650
17,april,2,0
18,september,0,10358
18,august,0,10000
18,july,0,75940
18,june,-1,20000
18,may,-1,195599
18,april,-1,50000
19,september,1,0
19,august,-2,0
19,july,-2,0
19,june,-2,0
19,may,-2,0
19,april,-2,0
20,september,1,0
20,august,-2,0
20,july,-2,0
20,june,-2,0
20,may,-2,0
20,april,-2,0
21,september,0,3000
21,august,0,1537
21,july,0,1000
21,june,0,2000
21,may,0,930
21,april,-1,33764
22,september,-1,316
22,august,-1,316
22,july,-1,0
22,june,-1,632
22,may,-1,316
22,april,-1,0
23,september,2,2007
23,august,0,3582
23,july,0,0
23,june,2,3601
23,may,2,0
