id_client,default,default_string,balance,sex,education,marriage,age
1,1,Default,20000,Female,University,Married,24
2,1,Default,120000,Female,University,Single,26
3,0,No Default,90000,Female,University,Single,34
4,0,No Default,50000,Female,University,Married,37
5,0,No Default,50000,Male,University,Married,57
6,0,No Default,50000,Male,Graduate School,Single,37
7,0,No Default,500000,Male,Graduate School,Single,29
8,0,No Default,100000,Female,University,Single,23
9,0,No Default,140000,Female,High School,Married,28
10,0,No Default,20000,Male,High School,Single,35
11,0,No Default,200000,Female,High School,Single,34
12,0,No Default,260000,Female,Graduate School,Single,51
13,0,No Default,630000,Female,University,Single,41
14,1,Default,70000,Male,University,Single,30
15,0,No Default,250000,Male,Graduate School,Single,29
16,0,No Default,50000,Female,High School,Other,23
17,1,Default,20000,Male,Graduate School,Single,24
18,0,No Default,320000,Male,Graduate School,Married,49
19,0,No Default,360000,Female,Graduate School,Married,49
20,0,No Default,180000,Female,Graduate School,Single,29
21,0,No Default,130000,Female,High School,Single,39
22,1,Default,120000,Female,University,Married,39
23,1,Default,70000,Female,University,Single,26
24,1,Default,450000,Female,Graduate School,Married,40
25,0,No Default,90000,Male,Graduate School,Single,23
26,0,No Default,50000,Male,High School,Single,23
27,1,Default,60000,Male,Graduate School,Single,27
28,0,No Default,50000,Female,High School,Single,30
29,0,No Default,50000,Female,High School,Married,47
30,0,No Default,50000,Male,Graduate School,Single,26
31,0,No Default,230000,Female,Graduate School,Single,27
32,1,Default,50000,Male,University,Single,33
33,0,No Default,100000,Male,Graduate School,Single,32
34,0,No Default,500000,Female,University,Married,54
35,0,No Default,500000,Male,Graduate School,Married,58
36,0,No Default,160000,Male,Graduate School,Single,30
37,0,No Default,280000,Male,University,Married,40
38,0,No Default,60000,Female,University,Single,22
39,1,Default,50000,Male,Graduate School,Single,25
40,0,No Default,280000,Male,Graduate School,Single,31
41,0,No Default,360000,Male,Graduate School,Single,33
42,0,No Default,70000,Female,Graduate School,Single,25
43,0,No Default,10000,Male,University,Single,22
44,0,No Default,140000,Female,University,Married,37
45,0,No Default,40000,Female,Graduate School,Single,30
46,1,Default,210000,Male,Graduate School,Single,29
47,1,Default,20000,Female,Graduate School,Single,22
48,1,Default,150000,Female,Unknown,Single,46
49,0,No Default,380000,Male,University,Single,32
50,0,No Default,20000,Male,Graduate School,Single,24
51,1,Default,70000,Male,High School,Single,42
52,0,No Default,100000,Female,High School,Other,43
53,0,No Default,310000,Female,University,Married,49
54,0,No Default,180000,Female,Graduate School,Single,25
55,0,No Default,150000,Female,Graduate School,Single,29
56,0,No Default,500000,Female,Graduate School,Married,45
57,0,No Default,180000,Female,High School,Married,34
58,0,No Default,180000,Female,University,Married,34
59,0,No Default,200000,Female,Graduate School,Single,34
60,0,No Default,400000,Female,University,Married,29
61,1,Default,500000,Female,High School,Married,28
62,0,No Default,70000,Male,University,Married,39
63,1,Default,50000,Male,Graduate School,Single,29
64,1,Default,50000,Female,University,Married,46
65,0,No Default,130000,Female,University,Married,51
66,1,Default,200000,Male,Graduate School,Married,57
67,1,Default,10000,Male,University,Married,56
68,0,No Default,210000,Female,Graduate School,Single,30
69,0,No Default,130000,Female,High School,Single,29
70,0,No Default,20000,Male,Unknown,Single,22
71,0,No Default,80000,Male,Graduate School,Single,31
72,1,Default,320000,Male,University,Single,29
73,0,No Default,200000,Female,University,Married,32
74,0,No Default,290000,Female,Graduate School,Single,37
75,0,No Default,340000,Male,Graduate School,Single,32
76,0,No Default,20000,Male,University,Single,24
77,0,No Default,50000,Male,High School,Single,25
78,0,No Default,300000,Female,Graduate School,Married,45
79,1,Default,30000,Female,University,Single,22
80,1,Default,240000,Female,University,Single,44
81,0,No Default,470000,Female,High School,Other,33
82,0,No Default,360000,Female,Graduate School,Single,26
83,1,Default,60000,Male,High School,Single,30
84,0,No Default,400000,Female,University,Married,44
